threads,dataset,dt,cells,mean_iteration_ms,std_iteration_ms,total_measured_ms,speedup,efficiency
1,data/galaxy_5000,0.0015,"(15, 15, 1)",166.040410,9.751666,4981.212303,1.000000,1.000000
2,data/galaxy_5000,0.0015,"(15, 15, 1)",86.319810,2.883284,2589.594303,1.923549,0.961775
3,data/galaxy_5000,0.0015,"(15, 15, 1)",62.671721,1.227445,1880.151622,2.649367,0.883122
4,data/galaxy_5000,0.0015,"(15, 15, 1)",55.054546,1.928810,1651.636367,3.015926,0.753981
5,data/galaxy_5000,0.0015,"(15, 15, 1)",52.027190,4.136697,1560.815698,3.191416,0.638283
6,data/galaxy_5000,0.0015,"(15, 15, 1)",54.060655,4.940530,1621.819641,3.071373,0.511895
7,data/galaxy_5000,0.0015,"(15, 15, 1)",59.458631,2.709676,1783.758938,2.792537,0.398934
8,data/galaxy_5000,0.0015,"(15, 15, 1)",59.203262,2.377897,1776.097874,2.804582,0.350573
