threads,dataset,dt,cells,mean_iteration_ms,std_iteration_ms,total_measured_ms,speedup,efficiency
1,data/galaxy_5000,0.0015,"(15, 15, 1)",154.826501,2.913568,4644.795033,1.000000,1.000000
2,data/galaxy_5000,0.0015,"(15, 15, 1)",87.235180,2.870793,2617.055400,1.774817,0.887409
3,data/galaxy_5000,0.0015,"(15, 15, 1)",295.868528,17.038428,8876.055828,0.523295,0.174432
4,data/galaxy_5000,0.0015,"(15, 15, 1)",239.435823,11.348102,7183.074678,0.646630,0.161658
5,data/galaxy_5000,0.0015,"(15, 15, 1)",419.545321,11.772212,12586.359635,0.369034,0.073807
6,data/galaxy_5000,0.0015,"(15, 15, 1)",362.963098,14.153795,10888.892945,0.426563,0.071094
7,data/galaxy_5000,0.0015,"(15, 15, 1)",541.377517,20.575360,16241.325496,0.285986,0.040855
8,data/galaxy_5000,0.0015,"(15, 15, 1)",477.463988,24.847997,14323.919634,0.324268,0.040534
